Column1,Column2,Column3,Column4
Initializing SD card...card initialized.,,,
Logging to: MLOG09.CSV,,,
millis,stamp,datetime,motion
209999, 947754663, 2000/0/13 9:11:3, Active
210998, 947754663, 2000/0/13 9:11:3, Active
211999, 947754663, 2000/0/13 9:11:3, Active
212999, 947754663, 2000/0/13 9:11:3, Active
213999, 947754663, 2000/0/13 9:11:3, Active
215000, 947754663, 2000/0/13 9:11:3, Active
215999, 947754663, 2000/0/13 9:11:3, Active
216999, 947754663, 2000/0/13 9:11:3, Active
217999, 947754663, 2000/0/13 9:11:3, Active
218999, 947754663, 2000/0/13 9:11:3, Active
219998, 947754663, 2000/0/13 9:11:3, Active
220999, 947754663, 2000/0/13 9:11:3, Active
221999, 947754663, 2000/0/13 9:11:3, Active
222999, 947754663, 2000/0/13 9:11:3, Active
224000, 947754663, 2000/0/13 9:11:3, Active
224999, 947754663, 2000/0/13 9:11:3, Active
225999, 947754663, 2000/0/13 9:11:3, Active
226999, 947754663, 2000/0/13 9:11:3, Active
227999, 947754663, 2000/0/13 9:11:3, Active
229000, 947754663, 2000/0/13 9:11:3, Active
229998, 947754663, 2000/0/13 9:11:3, Active
231000, 947754663, 2000/0/13 9:11:3, Active
231999, 947754663, 2000/0/13 9:11:3, Active
232999, 947754663, 2000/0/13 9:11:3, Active
233999, 947754663, 2000/0/13 9:11:3, Active
234999, 947754663, 2000/0/13 9:11:3, Active
235999, 947754663, 2000/0/13 9:11:3, Active
236999, 947754663, 2000/0/13 9:11:3, Active
238000, 947754663, 2000/0/13 9:11:3, Inactive
238999, 947754663, 2000/0/13 9:11:3, Inactive
240000, 947754663, 2000/0/13 9:11:3, Inactive
240999, 947754663, 2000/0/13 9:11:3, Inactive
241999, 947754663, 2000/0/13 9:11:3, Active
242999, 947754663, 2000/0/13 9:11:3, Active
243999, 947754663, 2000/0/13 9:11:3, Active
244999, 947754663, 2000/0/13 9:11:3, Active
245999, 947754663, 2000/0/13 9:11:3, Active
247000, 947754663, 2000/0/13 9:11:3, Active
247999, 947754663, 2000/0/13 9:11:3, Active
248999, 947754663, 2000/0/13 9:11:3, Active
249999, 947754663, 2000/0/13 9:11:3, Active
250999, 947754663, 2000/0/13 9:11:3, Active
251999, 947754663, 2000/0/13 9:11:3, Active
252999, 947754663, 2000/0/13 9:11:3, Active
253999, 947754663, 2000/0/13 9:11:3, Active
254999, 947754663, 2000/0/13 9:11:3, Active
256000, 947754663, 2000/0/13 9:11:3, Active
256999, 947754663, 2000/0/13 9:11:3, Active
257999, 947754663, 2000/0/13 9:11:3, Active
258999, 947754663, 2000/0/13 9:11:3, Active
259999, 947754663, 2000/0/13 9:11:3, Active
260999, 947754663, 2000/0/13 9:11:3, Active
261999, 947754663, 2000/0/13 9:11:3, Active
262999, 947754663, 2000/0/13 9:11:3, Active
263999, 947754663, 2000/0/13 9:11:3, Active
264999, 947754663, 2000/0/13 9:11:3, Active
265999, 947754663, 2000/0/13 9:11:3, Active
266999, 947754663, 2000/0/13 9:11:3, Active
267999, 947754663, 2000/0/13 9:11:3, Active
268999, 947754663, 2000/0/13 9:11:3, Active
270000, 947754663, 2000/0/13 9:11:3, Active
270999, 947754663, 2000/0/13 9:11:3, Active
272000, 947754663, 2000/0/13 9:11:3, Active
272999, 947754663, 2000/0/13 9:11:3, Active
273999, 947754663, 2000/0/13 9:11:3, Active
274999, 947754663, 2000/0/13 9:11:3, Active
275999, 947754663, 2000/0/13 9:11:3, Active
277000, 947754663, 2000/0/13 9:11:3, Active
277998, 947754663, 2000/0/13 9:11:3, Active
279000, 947754663, 2000/0/13 9:11:3, Active
279999, 947754663, 2000/0/13 9:11:3, Active
280999, 947754663, 2000/0/13 9:11:3, Active
281999, 947754663, 2000/0/13 9:11:3, Active
282999, 947754663, 2000/0/13 9:11:3, Active
283999, 947754663, 2000/0/13 9:11:3, Active
284999, 947754663, 2000/0/13 9:11:3, Active
286000, 947754663, 2000/0/13 9:11:3, Active
286999, 947754663, 2000/0/13 9:11:3, Active
288000, 947754663, 2000/0/13 9:11:3, Active
288999, 947754663, 2000/0/13 9:11:3, Active
289998, 947754663, 2000/0/13 9:11:3, Active
290999, 947754663, 2000/0/13 9:11:3, Active
291999, 947754663, 2000/0/13 9:11:3, Active
292999, 947754663, 2000/0/13 9:11:3, Active
293999, 947754663, 2000/0/13 9:11:3, Active
295000, 947754663, 2000/0/13 9:11:3, Active
295999, 947754663, 2000/0/13 9:11:3, Active
296999, 947754663, 2000/0/13 9:11:3, Active
297999, 947754663, 2000/0/13 9:11:3, Active
298999, 947754663, 2000/0/13 9:11:3, Active
299999, 947754663, 2000/0/13 9:11:3, Active
300999, 947754663, 2000/0/13 9:11:3, Active
301999, 947754663, 2000/0/13 9:11:3, Active
302999, 947754663, 2000/0/13 9:11:3, Active
304000, 947754663, 2000/0/13 9:11:3, Active
304999, 947754663, 2000/0/13 9:11:3, Active
305999, 947754663, 2000/0/13 9:11:3, Active
306999, 947754663, 2000/0/13 9:11:3, Active
307999, 947754663, 2000/0/13 9:11:3, Active
308999, 947754663, 2000/0/13 9:11:3, Active
309999, 947754663, 2000/0/13 9:11:3, Active
311000, 947754663, 2000/0/13 9:11:3, Active
311999, 947754663, 2000/0/13 9:11:3, Active
312999, 947754663, 2000/0/13 9:11:3, Inactive
313999, 947754663, 2000/0/13 9:11:3, Inactive
314999, 947754663, 2000/0/13 9:11:3, Inactive
315999, 947754663, 2000/0/13 9:11:3, Inactive
316999, 947754663, 2000/0/13 9:11:3, Active
317999, 947754663, 2000/0/13 9:11:3, Active
318999, 947754663, 2000/0/13 9:11:3, Active
320000, 947754663, 2000/0/13 9:11:3, Active
320999, 947754663, 2000/0/13 9:11:3, Active
321999, 947754663, 2000/0/13 9:11:3, Active
322999, 947754663, 2000/0/13 9:11:3, Active
323999, 947754663, 2000/0/13 9:11:3, Active
324999, 947754663, 2000/0/13 9:11:3, Active
325999, 947754663, 2000/0/13 9:11:3, Active
326999, 947754663, 2000/0/13 9:11:3, Active
327999, 947754663, 2000/0/13 9:11:3, Active
328999, 947754663, 2000/0/13 9:11:3, Active
329999, 947754663, 2000/0/13 9:11:3, Active
330999, 947754663, 2000/0/13 9:11:3, Active
331999, 947754663, 2000/0/13 9:11:3, Active
332999, 947754663, 2000/0/13 9:11:3, Active
334000, 947754663, 2000/0/13 9:11:3, Active
334999, 947754663, 2000/0/13 9:11:3, Active
336000, 947754663, 2000/0/13 9:11:3, Active
336999, 947754663, 2000/0/13 9:11:3, Active
337999, 947754663, 2000/0/13 9:11:3, Active
338999, 947754663, 2000/0/13 9:11:3, Active
339999, 947754663, 2000/0/13 9:11:3, Active
340999, 947754663, 2000/0/13 9:11:3, Active
341999, 947754663, 2000/0/13 9:11:3, Active
342999, 947754663, 2000/0/13 9:11:3, Active
343999, 947754663, 2000/0/13 9:11:3, Active
344999, 947754663, 2000/0/13 9:11:3, Active
345998, 947754663, 2000/0/13 9:11:3, Active
346999, 947754663, 2000/0/13 9:11:3, Active
347999, 947754663, 2000/0/13 9:11:3, Active
348999, 947754663, 2000/0/13 9:11:3, Active
350000, 947754663, 2000/0/13 9:11:3, Active
350999, 947754663, 2000/0/13 9:11:3, Active
352000, 947754663, 2000/0/13 9:11:3, Active
352999, 947754663, 2000/0/13 9:11:3, Active
353999, 947754663, 2000/0/13 9:11:3, Active
354999, 947754663, 2000/0/13 9:11:3, Active
355999, 947754663, 2000/0/13 9:11:3, Active
356999, 947754663, 2000/0/13 9:11:3, Active
357999, 947754663, 2000/0/13 9:11:3, Active
358999, 947754663, 2000/0/13 9:11:3, Active
359999, 947754663, 2000/0/13 9:11:3, Active
360999, 947754663, 2000/0/13 9:11:3, Active
361999, 947754663, 2000/0/13 9:11:3, Active
362999, 947754663, 2000/0/13 9:11:3, Active
363999, 947754663, 2000/0/13 9:11:3, Active
364999, 947754663, 2000/0/13 9:11:3, Active
365999, 947754663, 2000/0/13 9:11:3, Active
366999, 947754663, 2000/0/13 9:11:3, Active
368000, 947754663, 2000/0/13 9:11:3, Active
368999, 947754663, 2000/0/13 9:11:3, Active
369999, 947754663, 2000/0/13 9:11:3, Active
370999, 947754663, 2000/0/13 9:11:3, Active
371999, 947754663, 2000/0/13 9:11:3, Active
372998, 947754663, 2000/0/13 9:11:3, Active
373999, 947754663, 2000/0/13 9:11:3, Active
374999, 947754663, 2000/0/13 9:11:3, Active
375999, 947754663, 2000/0/13 9:11:3, Active
376999, 947754663, 2000/0/13 9:11:3, Active
377999, 947754663, 2000/0/13 9:11:3, Active
378999, 947754663, 2000/0/13 9:11:3, Active
379999, 947754663, 2000/0/13 9:11:3, Active
